Running Time:     ,Nodes Expanded:   ,Cost of Path:     ,Max Fringe Size:  ,Search Depth:     ,Fringe Size:      ,Max Search Depth: ,Search Method:    
7.608904123306274,85107,22,23976,23,22340,24,BFS
0.28944921493530273,3475,14,2101,15,2100,16,BFS
6.763652086257935,75222,22,23976,23,23772,24,BFS
7.1836841106414795,83136,22,23973,23,22688,24,BFS
14.644641160964966,168560,26,24048,27,7450,28,BFS
0.6163420677185059,7311,16,4493,17,4492,18,BFS
4.508150815963745,52650,20,17289,21,17174,22,BFS
3.980556011199951,46869,20,17259,21,17207,22,BFS
5.639832019805908,65437,21,21811,22,21625,23,BFS
10.815755844116211,124169,24,24054,25,21764,26,BFS
3.3528308868408203,39904,19,14733,20,14732,21,BFS
3.9183762073516846,45880,20,17259,21,17233,22,BFS
2.716830015182495,32205,19,14449,20,14448,21,BFS
3.1462581157684326,36378,19,14769,20,14761,21,BFS
8.102722883224487,94135,22,23972,23,20731,24,BFS
2.505469799041748,29146,19,14026,20,14025,21,BFS
11.56789493560791,134596,24,24049,25,17952,26,BFS
13.415339946746826,153183,25,25136,26,14380,27,BFS
3.8437490463256836,43758,20,17289,21,17236,22,BFS
9.435060024261475,108569,23,25133,24,23074,25,BFS
8.129853010177612,93092,22,23976,23,20976,24,BFS
4.515887022018433,52067,20,17259,21,17219,22,BFS
12.945663928985596,147352,25,25133,26,16948,27,BFS
5.291942119598389,60024,21,21815,22,21811,23,BFS
7.149158954620361,80507,22,23980,23,23060,24,BFS
2.144528865814209,25122,18,10687,19,10686,20,BFS
11.946583032608032,137972,24,24054,25,16515,26,BFS
10.16364598274231,117548,23,25133,24,20446,25,BFS
4.581594944000244,52784,20,17289,21,17178,22,BFS
13.774207830429077,151519,25,25133,26,15123,27,BFS
1.925964117050171,22417,18,10257,19,10254,20,BFS
6.405665874481201,72655,22,23976,23,23946,24,BFS
3.5140280723571777,39796,20,17160,21,17158,22,BFS
5.8918750286102295,66672,21,21811,22,21539,23,BFS
15.216789960861206,175314,27,25133,28,4426,29,BFS
6.987801790237427,80892,22,23973,23,23029,24,BFS
15.097953081130981,173219,27,25134,28,5927,29,BFS
13.856384992599487,158754,26,24054,27,13127,28,BFS
10.49062204360962,119633,24,24053,25,23171,26,BFS
5.290340900421143,61280,20,18858,21,18584,22,BFS
3.026442050933838,34964,19,14509,20,14504,21,BFS
1.799138069152832,20376,18,10011,19,10010,20,BFS
3.7892630100250244,42840,20,17289,21,17266,22,BFS
15.083453893661499,169298,26,24983,27,7727,28,BFS
13.308726072311401,148638,25,25133,26,16368,27,BFS
0.026455163955688477,293,9,202,10,201,11,BFS
13.988425016403198,160378,26,24053,27,12302,28,BFS
11.38629698753357,132657,24,24049,25,18693,26,BFS
3.5590460300445557,40323,20,17178,21,17175,22,BFS
10.319751024246216,117950,23,25133,24,20400,25,BFS
7.379532098770142,85425,22,23973,23,22294,24,BFS
6.5112199783325195,75203,22,23980,23,23770,24,BFS
6.199143171310425,71825,21,21826,22,21165,23,BFS
9.472438097000122,107562,23,25134,24,23295,25,BFS
5.614993095397949,64013,21,21811,22,21692,23,BFS
0.15444397926330566,1844,12,1025,13,1024,14,BFS
0.3937530517578125,4657,14,2473,15,2472,16,BFS
6.650926113128662,76137,21,21811,22,20340,23,BFS
10.044514894485474,115240,23,25133,24,21143,25,BFS
0.1938769817352295,2263,12,1261,13,1258,14,BFS
12.802083969116211,144760,25,25133,26,17975,27,BFS
0.6343419551849365,7330,15,3937,16,3934,17,BFS
14.545161962509155,166096,26,24054,27,8984,28,BFS
11.910063982009888,136372,24,24048,25,17214,26,BFS
14.665666818618774,169840,26,24049,27,6596,28,BFS
14.538887023925781,167570,26,24049,27,8058,28,BFS
6.602243900299072,74779,22,23973,23,23728,24,BFS
11.404206991195679,131478,24,24049,25,19052,26,BFS
14.2710862159729,163654,26,24983,27,11109,28,BFS
0.8868119716644287,10380,16,5308,17,5307,18,BFS
12.586580038070679,145586,24,24983,25,15098,26,BFS
2.4988560676574707,29250,18,12041,19,12031,20,BFS
3.556771993637085,41671,19,14804,20,14764,21,BFS
2.7024970054626465,30659,19,14181,20,14171,21,BFS
4.099722862243652,47861,20,17289,21,17218,22,BFS
3.3060619831085205,38411,20,17086,21,17085,22,BFS
9.762517929077148,109134,23,25134,24,22902,25,BFS
10.261766910552979,116214,24,24048,25,24017,26,BFS
13.892544984817505,155405,25,25133,26,13223,27,BFS
8.368160009384155,95415,22,23973,23,20345,24,BFS
10.769659042358398,119361,24,24049,25,23233,26,BFS
3.5515499114990234,40465,20,17187,21,17178,22,BFS
8.90388798713684,99084,23,25133,24,25087,25,BFS
0.6215701103210449,7270,15,3926,16,3925,17,BFS
14.093780994415283,159918,25,25136,26,10653,27,BFS
14.30378007888794,160845,26,24049,27,12069,28,BFS
0.8417551517486572,10014,16,5218,17,5217,18,BFS
0.7633311748504639,8918,16,4949,17,4948,18,BFS
6.348113059997559,72741,21,21830,22,20859,23,BFS
4.00142502784729,45268,20,18666,21,18657,22,BFS
12.096580982208252,136585,24,24983,25,18834,26,BFS
0.6916148662567139,7382,16,4519,17,4518,18,BFS
7.5079262256622314,85572,22,23976,23,22255,24,BFS
1.875756025314331,21490,18,10170,19,10166,20,BFS
10.829622983932495,122457,24,24054,25,22339,26,BFS
0.10295605659484863,1145,12,772,13,771,14,BFS
3.6579670906066895,40059,20,17192,21,17184,22,BFS
11.509232997894287,126727,24,24049,25,20851,26,BFS
10.630483150482178,120923,24,24053,25,22811,26,BFS
6.484346151351929,73203,22,23980,23,23914,24,BFS
15.46427297592163,176036,27,25133,28,3881,29,BFS
13.1404390335083,150699,25,25134,26,15463,27,BFS
5.2734129428863525,58172,21,21766,22,21764,23,BFS
8.189846992492676,93730,22,23976,23,20847,24,BFS
11.780035018920898,134037,24,24983,25,19801,26,BFS
5.761286973953247,66436,21,21826,22,21602,23,BFS
10.91881012916565,121088,24,24048,25,22758,26,BFS
3.7090649604797363,40745,19,14747,20,14726,21,BFS
7.265094041824341,77491,22,23972,23,23493,24,BFS
1.5471429824829102,17404,18,9529,19,9527,20,BFS
11.997696876525879,134606,24,24048,25,17940,26,BFS
1.6230919361114502,18495,18,9742,19,9740,20,BFS
0.22698283195495605,2671,13,1576,14,1575,15,BFS
13.142925024032593,146917,25,25133,26,17103,27,BFS
4.20947003364563,47101,20,17259,21,17198,22,BFS
2.0181689262390137,22253,18,10247,19,10246,20,BFS
2.7688519954681396,30458,18,12090,19,12085,20,BFS
9.23241400718689,104278,22,24983,23,20365,24,BFS
2.6962571144104004,30568,18,12099,19,12098,20,BFS
15.864255905151367,177210,27,25133,28,3090,29,BFS
7.347840070724487,81925,22,23973,23,22869,24,BFS
4.0607850551605225,43928,20,17257,21,17242,22,BFS
1.6567001342773438,18285,17,8445,18,8444,19,BFS
15.020328998565674,165253,26,24983,27,10216,28,BFS
10.168264150619507,114331,23,25133,24,21413,25,BFS
11.945605039596558,138285,24,24053,25,16396,26,BFS
2.3560478687286377,26456,18,10829,19,10828,20,BFS
6.562132120132446,73142,22,23972,23,23920,24,BFS
3.1115241050720215,35479,19,14553,20,14548,21,BFS
10.741130828857422,120505,23,25133,24,19491,25,BFS
14.363885164260864,159701,25,25136,26,10786,27,BFS
14.757588148117065,163852,26,24048,27,10334,28,BFS
10.558832883834839,122645,23,25133,24,18703,25,BFS
5.204493999481201,58973,20,18858,21,18709,22,BFS
5.975647926330566,66329,21,21826,22,21603,23,BFS
11.496079206466675,126886,24,24053,25,20800,26,BFS
3.2823891639709473,39131,19,14834,20,14796,21,BFS
8.86057996749878,99889,23,25133,24,25027,25,BFS
0.8548250198364258,10297,16,5287,17,5286,18,BFS
13.99473786354065,159926,25,25134,26,10688,27,BFS
